OrgNr,name,address,city,incorporation_date,revenue,profit,email,homepage,employees,segment,segment_name,revenue_per_employee,fit_score_reason_x,fit_score_reason_y,ai_score,ai_reason,ai_risk_factors
5569232357,MAPAB AB,Falköpingsvägen 56,Mullsjö,20.02.2013,36417,3419,info@mapab.se,https://www.mapab.se,9.0,10000937,"Aluminium, produkter",4.046333333333333,"**Score: 4**

**Justification:** MAPAB AB appears to be a family or founder-owned business, as there is no indication of it being part of a large group. The company is well-established, focusing on solar panel mounting systems, which is a stable and growin",,4,"MAPAB AB is a well-established company with a focus on a stable and growing segment, such as solar panel mounting systems. The company's financial data shows consistent revenue and profit, making it an attractive target for potential takeover or scale-up.","Small number of employees (9.0); Dependence on a single segment (Aluminium, produkter)"
5561892570,Bergvik Sweden AB,Fabriksvägen 9,Bergvik,01.01.1975,92409,1370,,https://www.bergvik.com,21.0,10000937,"Aluminium, produkter",4.400428571428572,"**Score: 4**

**Justification:** Bergvik Sweden AB appears to be a family or founder-owned business, given its specific focus and long-standing presence in the market for over 50 years, which suggests stability and establishment. The company is not part of",,4,"Bergvik Sweden AB is a well-established company with a long history and a focused market presence, indicating stability and potential for growth. The company's revenue per employee is also relatively high, suggesting efficiency and profitability.",Limited online presence and lack of contact information may hinder communication and due diligence efforts during the takeover process.; The company's small size and niche market focus may limit scalability and potential for rapid expansion.
5566968060,Åhus Lastvagnar AB,Tullvaktaregatan 6,Åhus,17.01.2006,33354,1224,,https://www.ahuslastvagnar.se,8.0,10000924,Agenturer,4.16925,ERROR: Website could not be scraped,,2,"The company has a decent profit margin and revenue per employee, but the lack of website information is a red flag for potential investors. The small number of employees may also limit scalability.",Limited online presence and information availability; Small workforce may hinder growth potential
5592029002,tershine AB,Reprovägen 15,Täby,16.04.2019,94565,4635,,https://tershine.com,12.0,10000924,Agenturer,7.880416666666666,"Score: 4

Justification: Tershine AB appears to be a family or founder-owned business, as there is no indication of it being part of a large group. The company operates in the car care products industry, which is not typically excluded from investment cons",,3,"Tershine AB has a decent revenue and profit margin, with a relatively low number of employees, indicating potential for scalability. The company's website fit score suggests it is a standalone business in a niche industry.",Limited financial data available for in-depth analysis; Lack of contact email on the website
5567837306,do88 AB,Skälbyvägen 14,Nykvarn,08.06.2009,66156,12709,,https://www.do88.se,12.0,10000924,Agenturer,5.513000000000001,"Based on the website content provided, I would rate do88 AB a 4 for fit with the specified criteria.

- **Family or founder owned**: The website does not provide explicit information about ownership, but the detailed and niche product offerings suggest a s","Based on the website content provided, I would rate do88 AB a 3 out of 5 for fit with the specified criteria.

- **Family or founder owned**: The website does not provide explicit information about ownership, so this is unclear.
- **Not part of a large gro",4,"Based on the company's solid financial performance and high fit score on the website, do88 AB is an attractive potential takeover/scale-up target. The company has a healthy revenue and profit margin, as well as a niche product offering that aligns well with the investor's criteria.","Limited information available on the company's ownership structure, which could impact the ease of acquisition or integration.; Small number of employees could pose challenges in scaling up operations quickly."
5564987138,Xilinx AB,Knarrarnäsgatan 15,Kista,07.11.1994,67007,5027,,https://www.xilinx.se,18.0,10000924,Agenturer,3.7226111111111115,ERROR: Website could not be scraped,ERROR: Website could not be scraped,2,"Xilinx AB has a decent revenue and profit margin, but the lack of website information and email address raises concerns about their online presence and communication capabilities.",Limited online presence and communication channels; Potential challenges in reaching out to the company
5590337811,Welcome AB,Östgötagatan 100,Stockholm,05.11.2015,128359,3982,info@welcometowelcome.com,https://www.welcometowelcome.com,14.0,10000924,Agenturer,9.1685,"Based on the website content provided, I would rate this business a 3 for fit with the specified criteria.

- **Family or founder owned**: The website does not provide information about ownership, so it is unclear if it is family or founder-owned.
- **Not ",,4,"Welcome AB has a solid revenue and profit margin, indicating financial stability. The fit score suggests a good alignment with the investor's criteria. The company's segment in Agenturer also presents potential for growth and synergy.",Limited information on ownership structure; Relatively small number of employees may limit scalability
5569912024,Vertex Pharmaceuticals (Sweden) AB,Torsgatan 13 8 Tr,Stockholm,19.11.2014,58242,2824,,https://www.vrtx.com,9.0,10241783,Agenturhandel-övrig,6.471333333333333,"Based on the provided website content, I would rate Vertex Pharmaceuticals (Sweden) AB a 1 for fit with the specified criteria. 

Justification: Vertex Pharmaceuticals is a large, multinational corporation, not a family or founder-owned SME. It is part of ",,2,"Vertex Pharmaceuticals (Sweden) AB has a decent revenue and profit margin, but its fit score is low due to being a large multinational corporation. However, it could still be an attractive target for scale-up due to its financial performance.",Low fit score due to being a large corporation; Limited information available on the company's website
5566501614,Transmotec Sweden AB,Reprovägen 8,Täby,06.11.2003,35092,3723,,https://www.transmotec.se,5.0,10241783,Agenturhandel-övrig,7.0184,"**Score: 4**

Transmotec Sweden AB appears to be a family or founder-owned business, as there is no indication of it being part of a large group. The company has been established since 1995, suggesting stability, and it offers specialized, customizable pro",,4,"Transmotec Sweden AB is a well-established company with a solid revenue and profit margin. It operates in a specialized segment, which could provide opportunities for growth and scalability. The company's website fit score indicates a strong potential for a successful takeover or scale-up.",Small number of employees may limit scalability potential; Lack of email contact information could hinder communication
5564881554,StenMagasinet i Stockholm AB,Fogdevägen 3,Täby,19.01.1995,34484,571,,https://www.stenmagasinet.se,13.0,10241783,Agenturhandel-övrig,2.652615384615385,"Score: 3

Justification: StenMagasinet i Stockholm AB appears to be a family or founder-owned business, as there is no indication of it being part of a larger group. The company operates in the stone and construction materials industry, which is not typica",,3,"StenMagasinet i Stockholm AB is a small family or founder-owned business with a decent revenue and profit margin. The company operates in a niche segment within the stone and construction materials industry, which could provide opportunities for growth and expansion.",Limited revenue and profit figures may indicate potential financial instability in the long run.; Small size and lack of online presence could pose challenges in scaling up the business.
